time,V_n,W_n,
9.225,8.220115661621094,161.41555786132812,
9.225,8.220115661621094,161.41555786132812,
9.226,8.220115661621094,161.41555786132812,
9.227,8.220115661621094,161.41555786132812,
9.227,8.220115661621094,161.41555786132812,
9.227,8.23011589050293,161.61233520507812,
9.228,8.23011589050293,161.61233520507812,
9.228,8.23011589050293,161.61233520507812,
9.229,8.23011589050293,161.61233520507812,
9.229,8.23011589050293,161.61233520507812,
9.23,8.23011589050293,161.61233520507812,
9.23,8.23011589050293,161.61233520507812,
9.231,8.23011589050293,161.61233520507812,
9.231,8.23011589050293,161.61233520507812,
9.232,8.23011589050293,161.61233520507812,
9.232,8.23011589050293,161.61233520507812,
9.233,8.23011589050293,161.61233520507812,
9.233,8.23011589050293,161.61233520507812,
9.234,8.23011589050293,161.61233520507812,
9.234,8.23011589050293,161.61233520507812,
9.235,8.23011589050293,161.61233520507812,
9.235,8.23011589050293,161.61233520507812,
9.236,8.23011589050293,161.61233520507812,
9.236,8.23011589050293,161.61233520507812,
9.237,8.23011589050293,161.61233520507812,
9.237,8.240116119384766,161.80908203125,
9.238,8.240116119384766,161.80908203125,
9.238,8.240116119384766,161.80908203125,
9.239,8.240116119384766,161.80908203125,
9.239,8.240116119384766,161.80908203125,
9.24,8.240116119384766,161.80908203125,
9.24,8.240116119384766,161.80908203125,
9.241,8.240116119384766,161.80908203125,
9.241,8.240116119384766,161.80908203125,
9.242,8.240116119384766,161.80908203125,
9.242,8.240116119384766,161.80908203125,
9.243,8.240116119384766,161.80908203125,
9.243,8.240116119384766,161.80908203125,
9.244,8.240116119384766,161.80908203125,
9.244,8.240116119384766,161.80908203125,
9.245,8.240116119384766,161.80908203125,
9.245,8.240116119384766,161.80908203125,
9.246,8.240116119384766,161.80908203125,
9.246,8.240116119384766,161.80908203125,
9.247,8.240116119384766,161.80908203125,
9.247,8.250116348266602,162.005859375,
9.248,8.250116348266602,162.005859375,
9.248,8.250116348266602,162.005859375,
9.249,8.250116348266602,162.005859375,
9.249,8.250116348266602,162.005859375,
9.25,8.250116348266602,162.005859375,
9.25,8.250116348266602,162.005859375,
9.251,8.250116348266602,162.005859375,
9.251,8.250116348266602,162.005859375,
9.252,8.250116348266602,162.005859375,
9.252,8.250116348266602,162.005859375,
9.253,8.250116348266602,162.005859375,
9.253,8.250116348266602,162.005859375,
9.254,8.250116348266602,162.005859375,
9.254,8.250116348266602,162.005859375,
9.255,8.250116348266602,162.005859375,
9.255,8.250116348266602,162.005859375,
9.256,8.250116348266602,162.005859375,
9.256,8.250116348266602,162.005859375,
9.257,8.250116348266602,162.005859375,
9.257,8.260116577148438,162.20263671875,
9.258,8.260116577148438,162.20263671875,
9.258,8.260116577148438,162.20263671875,
9.259,8.260116577148438,162.20263671875,
9.259,8.260116577148438,162.20263671875,
9.26,8.260116577148438,162.20263671875,
9.26,8.260116577148438,162.20263671875,
9.261,8.260116577148438,162.20263671875,
9.262,8.260116577148438,162.20263671875,
9.262,8.260116577148438,162.20263671875,
9.262,8.260116577148438,162.20263671875,
9.263,8.260116577148438,162.20263671875,
9.263,8.260116577148438,162.20263671875,
9.264,8.260116577148438,162.20263671875,
9.264,8.260116577148438,162.20263671875,
9.265,8.260116577148438,162.20263671875,
9.265,8.260116577148438,162.20263671875,
9.266,8.260116577148438,162.20263671875,
9.266,8.260116577148438,162.20263671875,
9.267,8.260116577148438,162.20263671875,
9.267,8.270116806030273,162.39939880371094,
9.268,8.270116806030273,162.39939880371094,
9.268,8.270116806030273,162.39939880371094,
9.269,8.270116806030273,162.39939880371094,
9.269,8.270116806030273,162.39939880371094,
9.27,8.270116806030273,162.39939880371094,
9.27,8.270116806030273,162.39939880371094,
9.271,8.270116806030273,162.39939880371094,
9.271,8.270116806030273,162.39939880371094,
9.272,8.270116806030273,162.39939880371094,
9.272,8.270116806030273,162.39939880371094,
9.273,8.270116806030273,162.39939880371094,
9.273,8.270116806030273,162.39939880371094,
9.274,8.270116806030273,162.39939880371094,
9.274,8.270116806030273,162.39939880371094,
9.275,8.270116806030273,162.39939880371094,
9.275,8.270116806030273,162.39939880371094,
9.276,8.270116806030273,162.39939880371094,
9.276,8.270116806030273,162.39939880371094,
9.277,8.270116806030273,162.39939880371094,
9.277,8.28011703491211,162.59616088867188,
9.278,8.28011703491211,162.59616088867188,
9.278,8.28011703491211,162.59616088867188,
9.279,8.28011703491211,162.59616088867188,
9.279,8.28011703491211,162.59616088867188,
9.28,8.28011703491211,162.59616088867188,
9.28,8.28011703491211,162.59616088867188,
9.281,8.28011703491211,162.59616088867188,
9.281,8.28011703491211,162.59616088867188,
9.282,8.28011703491211,162.59616088867188,
9.282,8.28011703491211,162.59616088867188,
9.283,8.28011703491211,162.59616088867188,
9.283,8.28011703491211,162.59616088867188,
9.284,8.28011703491211,162.59616088867188,
9.284,8.28011703491211,162.59616088867188,
9.285,8.28011703491211,162.59616088867188,
9.285,8.28011703491211,162.59616088867188,
9.286,8.28011703491211,162.59616088867188,
9.286,8.28011703491211,162.59616088867188,
9.287,8.28011703491211,162.59616088867188,
9.287,8.290117263793945,162.79293823242188,
9.288,8.290117263793945,162.79293823242188,
