time,V_n,W_n
8.505,7.510808468,147.4586487
8.506,7.510808468,147.4586487
8.506,7.511808872,147.4783173
8.507,7.511808872,147.4783173
8.507,7.512809277,147.4980011
8.508,7.512809277,147.4980011
8.508,7.513809681,147.5176849
8.509,7.513809681,147.5176849
8.509,7.514810085,147.537384
8.51,7.514810085,147.537384
8.51,7.51581049,147.5570679
8.511,7.51581049,147.5570679
8.511,7.516810894,147.576767
8.512,7.516810894,147.576767
8.512,7.517811298,147.5964661
8.513,7.517811298,147.5964661
8.513,7.518811703,147.6161499
8.514,7.518811703,147.6161499
8.514,7.519812107,147.6358337
8.515,7.519812107,147.6358337
8.515,7.520812511,147.6555176
8.516,7.520812511,147.6555176
8.516,7.521812916,147.6752167
8.517,7.521812916,147.6752167
8.517,7.52281332,147.6948853
8.518,7.52281332,147.6948853
8.518,7.523813725,147.7145691
8.519,7.523813725,147.7145691
8.519,7.524814129,147.7342377
8.52,7.524814129,147.7342377
8.52,7.525814533,147.7539063
8.521,7.525814533,147.7539063
8.521,7.526814938,147.7735901
8.522,7.526814938,147.7735901
8.522,7.527815342,147.7932739
8.523,7.527815342,147.7932739
8.523,7.528815746,147.812973
8.524,7.528815746,147.812973
8.524,7.529816151,147.8326416
8.525,7.529816151,147.8326416
8.525,7.530816555,147.8523254
8.526,7.530816555,147.8523254
8.526,7.531816959,147.871994
8.527,7.531816959,147.871994
8.527,7.532817364,147.8916626
8.528,7.532817364,147.8916626
8.528,7.533817768,147.9113464
8.529,7.533817768,147.9113464
8.529,7.534818172,147.9310303
8.53,7.534818172,147.9310303
8.53,7.535818577,147.9507294
8.531,7.535818577,147.9507294
8.531,7.536818981,147.9704132
8.532,7.536818981,147.9704132
8.532,7.537819386,147.990097
8.533,7.537819386,147.990097
8.533,7.53881979,148.0097809
8.534,7.53881979,148.0097809
8.534,7.539820194,148.02948
8.535,7.539820194,148.02948
8.535,7.540820599,148.0491638
8.536,7.540820599,148.0491638
8.536,7.541821003,148.0688629
8.537,7.541821003,148.0688629
8.537,7.542821407,148.088562
8.538,7.542821407,148.088562
8.538,7.543821812,148.1082611
8.539,7.543821812,148.1082611
8.539,7.544822216,148.1279602
8.54,7.544822216,148.1279602
8.54,7.54582262,148.147644
8.541,7.54582262,148.147644
8.541,7.546823025,148.1673431
8.542,7.546823025,148.1673431
8.542,7.547823429,148.187027
8.543,7.547823429,148.187027
8.543,7.548823833,148.2066956
8.544,7.548823833,148.2066956
8.544,7.549824238,148.2263794
8.545,7.549824238,148.2263794
8.545,7.550824642,148.2460632
8.546,7.550824642,148.2460632
8.546,7.551825047,148.2657623
8.547,7.551825047,148.2657623
8.547,7.552825451,148.2854462
8.548,7.552825451,148.2854462
8.548,7.553825855,148.3051453
8.549,7.553825855,148.3051453
8.549,7.55482626,148.3248291
8.55,7.55482626,148.3248291
8.55,7.555826664,148.3445282
8.551,7.555826664,148.3445282
8.551,7.556827068,148.3642273
8.552,7.556827068,148.3642273
8.552,7.557827473,148.3839111
8.553,7.557827473,148.3839111
8.553,7.558827877,148.403595
8.554,7.558827877,148.403595
8.554,7.559828281,148.4232788
8.555,7.559828281,148.4232788
8.555,7.560828686,148.4429626
8.556,7.560828686,148.4429626
8.556,7.56182909,148.4626312
8.557,7.56182909,148.4626312
8.557,7.562829494,148.4823151
8.558,7.562829494,148.4823151
8.558,7.563829899,148.5019836
8.559,7.563829899,148.5019836
8.559,7.564830303,148.5216675
8.56,7.564830303,148.5216675
